m_mtrlalu;mtrakhir;blokno
386;396;A 05/010
153;153;A 05/011
202;202;A 06/002
587;621;A 06/003
3301;3312;A 06/006
273;294;A 06/007
0;0;A 06/008
153;163;A 06/009
1461;1505;A 06/026
693;710;A 06/027
251;251;AA01/048
280;301;AA01/049
633;648;AA01/050
208;229;AA01/051
1923;1923;AA01/052
924;944;AA01/053
288;309;AA01/054
2019;2019;AA01/055
480;484;AA02/031
1135;1154;AA02/032
2074;2074;AA02/033
580;606;AA02/036
894;894;AA02/037
237;252;AA02/039
734;823;AA02/040
39;39;AA03/009
689;711;AA03/017
953;977;AA03/018
3381;3387;AA03/019
1215;1249;AA03/020
909;909;AA03/021
243;243;AA03/022
259;300;AA03/023
3463;3493;B 01/061
2598;2674;B 01/062
611;624;B 01/063
76;105;B 01/064
959;968;B 01/065
225;229;B 01/066
947;947;B 01/067
288;289;C 02/058
2358;0;C 02/059
2588;2612;C 02/062
0;0;C 02/064
427;427;C 05/006
1311;1335;C 05/007
1867;1907;C 05/008
150;160;C 05/009
98;115;C 05/035
945;966;C 05/038
1299;1320;C 05/039
66;91;C 06/002
511;521;C 06/006
327;360;C 06/007
1123;1132;C 06/008
415;433;C 06/033
3221;3239;C 06/036
757;772;C 06/037
0;0;C 07/002
34;40;C 07/031
5029;5061;D 01/055
0;0;D 01/056
1040;1057;D 01/057
54;54;D 01/058
2594;2594;D 01/059
2449;2469;D 01/060
1720;1755;D 01/061
0;0;D 01/063
732;750;D 01/064
0;0;D 01/065
300;325;D 01/066
1963;1964;D 01/067
610;619;D 01/070
147;147;D 01/071
412;452;D 01/072
40;40;D 01/073
1110;1137;D 01/074
326;326;D 01/075
317;317;D 01/077
198;210;D 01/078
2289;2332;D 01/079
105;114;D 01/080
1170;1182;D 01/081
185;204;D 07/016
296;300;D 07/017
29;43;D 07/018
152;156;D 07/019
21;21;D 07/021
395;395;D 07/022
810;821;D 07/023
542;562;D 07/027
960;972;D 07/028
246;246;D 07/029
436;448;D 07/030
189;189;D 07/031
1459;1492;D 07/032
200;215;D 07/033
816;880;D 08/002
839;848;D 08/003
284;284;D 08/005
2327;2327;D 08/006
3573;3583;D 08/007
1100;1100;D 08/008
215;215;D 08/009
757;768;D 08/010
748;758;D 08/011
1940;1941;D 08/033
2639;2672;D 08/034
1199;1203;D 08/035
885;900;D 08/036
692;706;D 08/037
286;302;D 08/038
258;258;D 08/039
174;208;D 08/040
914;936;D 08/046
816;832;D 08/047
230;251;D 08/048
341;365;D 08/049
219;222;D 08/050
89;102;D 08/051
1032;1032;D 08/052
1;1;D 08/053
1031;1044;E 01/015
289;312;E 01/016
409;426;E 01/017
6;6;E 01/018
1149;1149;E 01/019
696;696;E 01/020
1420;1438;E 01/021
34;34;E 01/022
2580;2632;E 01/023
222;247;E 01/024
2144;2163;E 01/025
163;164;E 01/026
188;188;E 01/029
76;85;E 01/030
397;397;E 01/031
733;740;E 01/032
1664;1664;E 01/033
805;820;E 01/035
986;1004;E 01/036
390;390;E 01/037
342;361;E 01/038
221;250;E 01/039
167;182;E 01/040
44;62;E 01/041
2063;2063;E 01/063
952;966;E 01/064
10;10;E 01/065
980;980;E 01/066
568;568;E 01/067
928;949;E 01/068
1007;1007;E 01/069
1645;1662;E 01/071
1687;1701;E 01/072
910;913;E 01/075
1013;1013;E 01/076
2;2;E 01/077
2;2;E 01/078
182;182;E 01/079
265;265;E 01/080
750;750;E 01/081
1125;1125;E 01/082
547;559;E 01/084
2109;2137;E 01/085
901;901;E 02/002
63;63;E 02/003
572;594;E 02/005
1580;1610;E 02/006
158;174;E 02/007
331;369;E 02/008
85;101;E 02/009
382;382;E 02/039
298;298;E 02/040
1072;1083;E 02/068
1026;1044;E 02/069
769;800;E 02/070
1;1;E 02/071
569;603;E 03/003
1037;1050;E 03/005
1029;1046;E 03/006
1279;1309;E 03/007
498;498;E 03/008
2;2;E 03/018
2;2;E 03/019
278;278;E 03/021
915;927;E 03/022
1900;1900;E 03/023
1664;1693;E 03/026
0;0;E 03/027
1088;1114;E 03/028
809;824;E 03/029
891;906;E 03/037
956;991;E 03/038
935;952;E 03/039
640;655;E 03/040
1032;1045;E 03/041
1570;1596;E 03/042
3;3;E 04/002
388;388;E 04/005
1032;1039;E 04/006
190;190;E 04/007
820;832;E 04/008
276;276;E 04/009
386;386;E 04/010
46;46;E 04/042
52;52;E 04/044
4192;4228;E 04/047
3036;3036;E 04/048
225;240;E 05/003
629;629;E 05/005
1123;1150;E 05/006
820;863;E 05/007
278;314;E 05/009
1234;1234;E 05/010
818;819;E 05/011
1452;1452;E 05/012
248;248;E 05/014
203;203;A 04/001
1474;1478;A 04/002
649;685;A 04/006
1153;1180;A 04/007
574;590;A 04/008
6839;6861;B 01/002
519;558;B 01/017
725;745;B 01/031
1124;1143;B 01/032
22;22;B 01/033
251;290;B 01/034
1548;1548;B 01/035
852;852;B 01/036
1527;1527;B 01/037
1006;1030;B 01/038
873;873;B 01/039
931;954;B 01/040
1072;1109;B 01/041
2306;2307;B 01/042
51;51;B 01/043
2375;2412;B 01/044
1632;1666;B 01/045
1150;1150;B 01/046
218;240;B 01/047
1113;1149;B 01/048
2643;2643;B 01/053
267;299;B 01/054
685;685;B 01/055
755;768;B 01/056
2607;2640;B 01/057
2131;2181;B 01/058
2183;2224;B 01/059
781;817;B 01/060
2266;2276;B 01/061
2441;2441;B 01/062
215;215;B 01/063
925;930;B 01/064
2159;2162;B 01/065
1762;1762;B 01/066
1371;1384;B 01/067
269;285;B 01/068
368;396;B 01/069
4588;4588;B 02/001
593;605;B 02/002
1002;1020;B 02/003
855;870;B 02/005
131;132;B 02/006
727;761;B 02/007
640;670;B 02/008
666;689;B 02/009
182;184;B 02/010
1537;1537;B 02/011
1632;1632;B 02/012
1004;1017;B 02/014
2031;2031;B 02/015
5782;5782;B 02/016
650;664;B 02/017
169;207;B 02/018
410;410;B 02/019
2183;2183;B 02/020
482;482;B 02/021
560;568;B 02/022
586;590;B 02/023
1054;1054;B 02/024
768;768;B 02/025
757;772;B 02/026
1036;1036;B 02/027
629;640;B 02/028
691;691;B 02/029
5194;5201;B 02/030
439;439;B 02/031
456;456;B 02/032
244;244;B 02/033
757;804;B 02/034
1619;1644;B 02/035
1435;1450;B 03/002
424;430;B 03/003
910;910;B 03/005
1285;1285;B 03/006
654;669;B 03/007
40;65;B 03/008
785;809;B 03/009
160;175;B 03/010
0;0;B 03/011
669;703;B 03/012
277;277;B 03/014
16;38;B 03/014A
814;828;B 03/015
21;33;B 03/015A
35;50;B 03/016
1485;1515;B 03/019
1276;1276;B 03/020
568;599;B 03/021
187;197;B 03/022
727;757;B 03/023
2467;2491;B 03/024
1029;1056;B 03/025
1382;1392;B 03/026
1828;1828;B 03/027
1204;1226;B 03/028
895;915;B 04/001
2227;2227;B 04/003
178;210;B 04/005
1201;1223;B 04/006
1155;1155;B 04/007
236;244;B 04/008
1251;1251;B 04/011
666;666;B 04/012
142;142;B 04/012A
189;202;B 04/014A
1349;1360;B 04/015
1043;1060;B 04/015A
466;481;B 04/016
225;243;B 04/017
3155;3190;B 04/018
1058;1079;B 04/019
1420;1450;B 04/020
334;349;B 04/021
710;798;B 04/022
806;806;B 04/023
749;778;B 04/023A
560;569;B 04/025
852;869;B 04/026
2469;2482;B 04/027
331;331;B 04/028
672;741;B 04/029
386;427;B 04/030
2031;2031;B 04/031
1029;1057;B 04/032
25;25;B 04/033
884;905;B 04/036
170;171;B 04/037
144;165;B 04/038
844;865;B 04/039
509;538;B 04/040
1465;1487;B 04/041
1240;1240;B 04/042
265;283;B 04/043
272;308;B 04/044
1522;1549;B 04/045
2049;2096;B 04/046
680;735;B 04/047
777;793;B 05/002
126;149;B 05/003
1097;1151;B 05/005
1150;1171;B 05/006
705;713;B 05/007
2139;2143;B 05/008
506;506;B 05/009
80;80;B 05/010
687;699;B 05/011
547;554;B 05/012
887;911;B 05/014
3496;3496;B 05/015
1009;1023;B 05/018
420;444;B 05/019
2133;43;B 05/020
1680;3;B 05/021
951;973;B 05/022
717;744;B 05/023
1563;1586;B 05/024
944;944;B 05/025
815;815;B 05/026
326;326;B 05/027
856;870;B 05/028
59;90;B 05/029
505;526;B 05/030
1682;1682;B 05/031
1664;1695;B 05/032
228;228;B 05/033
1030;1048;B 06/002
483;493;B 06/003
840;855;B 06/005
1101;1133;B 06/006
352;375;B 06/007
4609;4649;B 06/008
1332;1332;B 06/009
163;178;B 06/010
742;757;B 06/011
1686;1707;B 06/012
246;276;B 06/014
2964;2976;B 06/015
1673;1676;B 06/022
376;390;B 06/023
583;609;B 06/024
1526;1526;B 06/025
1434;1450;B 06/026
2542;2542;B 06/027
554;561;B 06/028
1682;1729;B 06/029
2403;2450;B 06/030
875;875;B 06/031
1;1;B 06/032
17;17;B 06/033
1627;1658;B 07/001
1632;1647;B 07/002
4;6;B 07/003
27;29;B 07/005
508;563;B 07/006
1325;1330;B 07/007
170;185;B 07/008
221;236;B 07/009
926;937;B 07/010
2404;2435;B 07/011
1000;1000;B 07/012
546;889;B 07/014
911;929;B 07/015
254;276;B 07/016
1085;1090;B 07/017
488;488;B 07/018
670;690;B 07/019
1173;1280;B 07/020
2450;2450;B 07/021
975;990;B 07/023
379;379;B 07/024
398;420;B 07/024A
1114;1118;B 07/025
1261;1282;B 07/025A
1041;1055;B 07/026
234;239;B 07/026A
1055;1069;B 07/027
3028;3028;B 07/028A
1038;1054;B 07/029
1677;1711;B 07/031
3136;3142;B 07/032
1452;1452;B 07/033
940;964;B 07/037
3350;3350;B 07/038
649;678;B 07/039
1738;1738;B 07/040
717;747;B 07/041
31;31;B 07/042
29;30;B 07/043
996;996;B 07/044
1009;1015;B 07/045
1296;1317;B 07/046
611;611;B 07/047
2136;2178;B 07/048
500;520;B 07/049
2714;2772;B 07/050
